"","GEOID","population","worker_denominator","age5_under","age5_17","age18_24","age25_34","age35_44","age45_54","age55_59","age60_61","age62_64","age65_74","age75_plus","household_size","agriculture","construction","manufacturing","wholesale_trade","retail_trade","transportation","information","finance_realestate","professional","education_healthcare","lths_education","hs_education","college_education","poverty","medianincome","median_age","insurance","black_aa","ai","pi","hispanic","asian","white_race","age18_under","age18_34","age55_64","geoid","POPPCT_URBAN","COUNTYFIPS.x","hospitals","hospital_beds","COUNTYFIPS.y","universities","enrollment","fips","cases_march","cases_april","cases_may","cases_june","total_march","total_april","total_may","total_june","enrollment_march","enrollment_april","enrollment_may","enrollment_june","launched_march","launched_april","launched_may","launched_june","cases","total","state"
"2135","40007",5415,2395,5.55863342566944,19.5383194829178,7.90397045244691,10.0277008310249,12.6131117266851,11.8374884579871,6.99907663896584,2.65927977839335,4.00738688827331,10.8217913204063,8.03324099722992,2.63,24.133611691023,10.9812108559499,7.22338204592902,2.25469728601253,10.6471816283925,8.43423799582463,0.208768267223382,3.79958246346555,3.42379958246347,15.0730688935282,10.5817174515235,24.118190212373,13.2040627885503,12.3361034164358,51996,40.3,0.984672206832872,0.350877192982456,3.63804247460757,0,22.9916897506925,0,82.0867959372114,25.0969529085873,17.9316712834718,13.6657433056325,40007,0,"40007",1,24,NA,0,NA,"40007",0,8,16,14,0,0,0,0,0,0,0,0,0,0,0,0,38,0,"40"
"2136","40009",22621,9113,7.75385703549799,17.6826842314663,8.59378453649264,15.1805844127138,12.7050086203086,12.4044029883736,5.98116794129349,2.64798196366208,3.90345254409619,7.3029485875956,5.84412713849962,2.75,18.6875891583452,6.71568089542412,5.70613409415121,2.8750137166685,12.0487216064962,4.37836058378141,1.06441347525513,5.09162734555031,6.59497421266323,18.9070558542741,8.55399849697184,25.3260244905177,11.4406966977587,12.9614075416648,48725,35.7,0.920516334379559,4.79200742672738,5.58772821714336,0.0486273816365324,14.4688563723973,1.15379514610318,88.2586976703063,25.4365412669643,23.7743689492065,12.5326024490518,40009,67.34,"40009",2,93,NA,0,NA,"40009",1,4,5,7,0,0,0,0,0,0,0,0,0,0,0,0,17,0,"40"
"2137","40011",9634,3618,5.74008719119784,15.2688395266764,5.84388623624663,13.0994394851567,13.2136184347104,14.2308490761885,8.38696283994187,2.48079717666597,3.69524600373677,9.85052937512975,8.18974465434918,2.09,17.551133222775,5.58319513543394,8.48535102266446,3.75898286346048,10.2542841348811,4.09065782200111,1.10558319513543,4.22885572139304,4.78164731896075,24.3504698728579,12.7880423500104,25.2024081378451,12.1444882707079,10.857380112103,50391,42.4,0.849283786589163,4.53601826863193,12.1652480797177,0.114178949553664,10.4110442183932,0.176458376582935,84.0253269669919,21.0089267178742,18.9433257214034,14.5630060203446,40011,42.57,"40011",2,42,NA,0,NA,"40011",0,0,6,9,0,0,0,0,0,0,0,0,0,0,0,0,15,0,"40"
"2138","40013",45759,19332,6.53204834021723,16.9540418278371,9.73360431827619,13.9797635437837,11.324548176315,12.0369763325247,5.82180554644988,2.55250333267772,3.58399440547215,10.216569418038,7.26414475840818,2.61,3.6985309331678,6.15042416718394,10.862818125388,2.07945375543141,11.0904200289675,4.10717980550383,1.20008276432857,5.95385888681978,6.3935443823712,22.7032898820608,9.33805371620883,21.3772154111759,15.2560152101226,16.1738674359142,43245,37.5,0.990078454511681,2.52627898336939,20.4003583994405,0.155160733407636,5.81962018400752,0.784545116807623,80.0520116261282,23.4860901680544,23.7133678620599,11.9583032845998,40013,38.67,"40013",1,148,"40013",1,4006,"40013",1,7,19,66,0,0,0,0,0,0,0,0,0,0,0,0,93,0,"40"
"2139","40015",29342,11272,7.02065298888965,18.2536977711131,8.49294526617136,12.6201349601254,12.0032717606162,12.8927816781405,6.4071978733556,2.576511485243,3.35355463158612,9.171153977234,7.20809760752505,2.76,11.7725337118524,9.33286018452803,4.52448545067424,2.00496806245564,11.3112136266856,6.85770049680625,1.43718949609652,4.26721078779276,2.82114975159688,19.7657913413769,9.60738872605821,26.4024265557903,10.7797696135233,19.1432076886374,44588,37.3,0.961045600163588,3.83750255606298,29.1118533160657,0.235157794288051,12.4804035171427,0.746370390566424,69.351100811124,25.2743507600027,21.1130802262968,12.3372639901847,40015,20.03,"40015",2,42,NA,0,NA,"40015",1,61,99,85,0,0,0,0,0,0,0,0,0,0,0,0,246,0,"40"
"2140","40017",136710,68679,6.8868407578085,19.4009216589862,7.681954502231,14.6777850925316,14.416648379782,12.6830517153098,6.24387389364348,2.33925828395874,3.10365006217541,7.69950991149148,4.86650574208178,3.01,5.89117488606415,6.28867630571208,8.10145750520538,3.14215407912171,12.7462543135456,5.31603546935745,1.61330246509122,6.47068245023952,8.59942631663245,19.93913714527,5.08741130860947,19.4535878867676,17.7046302391925,8.29419940019018,71157,35.9,0.986314095530685,4.03554970375247,7.70975056689342,0.0380367200643698,8.6226318484383,3.73783922171019,86.4918440494477,26.2877624167947,22.3597395947626,11.6867822397776,40017,77.49,"40017",2,123,NA,0,NA,"40017",19,79,54,204,0,0,0,0,0,0,0,0,0,0,0,0,356,0,"40"
"2141","40019",48406,20921,6.86485146469446,18.4894434574226,8.25517497830847,12.6265339007561,12.4674627112341,12.1741106474404,6.8276659918192,2.46870222699665,3.68342767425526,9.13729702929389,7.00532991777879,2.59,5.94617848095215,7.04555231585488,12.8865732995555,2.418622436786,12.5280818316524,5.69762439653936,0.650064528464223,4.53611204053344,6.91649538740978,21.2083552411453,8.35846795851754,24.1622939305045,13.6863198777011,16.6404991116804,49216,38.2,0.986675205553031,8.73238854687435,14.6634714704789,0.0309878940627195,7.06937156550841,1.5576581415527,82.0807337933314,25.3542949221171,20.8817088790646,12.9797958930711,40019,43.92,"40019",2,212,NA,0,NA,"40019",1,2,42,40,0,0,0,0,0,0,0,0,0,0,0,0,85,0,"40"
"2142","40021",48599,19115,6.13387106730591,16.4838782691002,14.9180024280335,12.2718574456265,11.0002263421058,11.3006440461738,6.57832465688594,2.11321220601247,3.20788493590403,9.58867466408774,6.40342393876417,2.83,4.1642688987706,5.76510593774523,6.9160345278577,2.47972796233325,11.3366466126079,4.00732409102799,0.795187025895893,3.89223123201674,7.36594297671985,29.4114569709652,9.26562274943929,19.6218029177555,15.646412477623,20.1485627276281,40936,35.1,0.991872260746106,2.59264593921686,44.0482314450915,0.30659067058993,7.04541245704644,1.15640239511101,60.9024877055083,22.6177493364061,27.18985987366,11.8994217988024,40021,39.95,"40021",2,0,"40021",1,7909,"40021",4,23,7,67,0,0,0,0,0,0,0,0,0,0,0,0,101,0,"40"
"2143","40023",14886,5094,6.6639795781271,17.627300819562,7.37605804111245,10.9297326346903,10.5804111245466,12.5285503157329,7.23498589278517,2.79457208115007,4.32621254870348,11.4134085718124,8.52478839177751,2.45,6.83156654888104,9.32469572045544,6.36042402826855,1.57047506870828,9.50137416568512,8.578720062819,0.510404397330192,4.9469964664311,5.45740086376129,22.6148409893993,12.6763401854091,26.938062609163,8.40386940749698,28.5167271261588,32129,42,0.987975278785436,13.6571275023512,23.0552196694881,0.194813919118635,4.21201128577187,0.120918984280532,70.5696627703883,24.2912803976891,18.3057906758028,14.3557705226387,40023,33.07,"40023",2,64,NA,0,NA,"40023",1,2,46,64,0,0,0,0,0,0,0,0,0,0,0,0,113,0,"40"
"2144","40025",2189,999,6.76107811786204,17.8163544997716,4.02010050251256,13.2023755139333,10.2329830973047,10.415714938328,5.7560529922339,3.65463682046597,3.70031978072179,13.3851073549566,11.0552763819095,2.23,26.2262262262262,5.90590590590591,5.40540540540541,2.002002002002,8.10810810810811,5.10510510510511,0.900900900900901,4.6046046046046,2.4024024024024,22.1221221221221,9.73047053449064,26.4961169483783,16.1717679305619,16.2631338510736,46071,43,0.990863407948835,0.274097761534947,0.548195523069895,0,21.608040201005,0.182731841023298,97.6244860666971,24.5774326176336,17.2224760164459,13.1110095934217,40025,0,"40025",1,25,NA,0,NA,"40025",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,"40"
"2145","40027",276733,140468,5.58480557071256,16.3840235895249,14.6780470706421,15.0159178702937,12.8231905844261,11.6469665706656,6.09179244976205,2.0156613053015,3.20850783968663,7.6593684164881,4.89171873249667,2.52,2.58564228151607,5.82837372212888,7.04786855369194,2.39698721416978,11.8802859014153,4.15041148161859,1.87800780248882,5.80844035652248,9.57015120881624,25.5631175783808,5.08865946598346,16.2387572136319,20.5660329631811,11.9309948578594,62863,33.9,0.979366392876889,6.45387431206253,8.48543541970058,0.272826153729407,8.4221975694984,5.6729772018516,85.0762287114294,21.9688291602375,29.6939649409358,11.3159615947502,40027,83.12,"40027",6,852,"40027",3,30942,"40027",65,354,147,705,0,0,0,0,0,0,0,0,0,0,0,0,1271,0,"40"
"2146","40029",5618,2186,6.42577429690281,18.4229263082948,7.88536845852617,10.1281594873621,11.2317550729797,11.3029547881808,7.2623709505162,3.18618725525098,3.95158419366323,11.3029547881808,8.8999644001424,2.48,11.0247026532479,11.4364135407136,6.58737419945105,1.32662397072278,8.5544373284538,3.84263494967978,0.686184812442818,4.34583714547118,4.39158279963404,27.4473924977127,11.1427554289783,28.0348878604486,11.8369526521894,22.3389106443574,40000,41.6,0.987718049127803,2.11819152723389,25.5428978284087,0.320398718405126,4.61018155927376,0.195799216803133,84.7276610893556,24.8487006051976,18.0135279458882,14.4001423994304,40029,0,"40029",1,20,NA,0,NA,"40029",0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,8,0,"40"
"2147","40031",122561,48797,7.16541150937084,16.7092305056258,12.9780272680543,16.5191210907222,12.1971916025489,11.4865250773084,5.8183272003329,2.45918359021222,2.76107407739819,6.74847626895995,5.15743180946631,2.66,1.81568539049532,5.14580814394327,8.98825747484477,1.07793511896223,12.3081336967437,3.95925979056089,1.41197204746193,5.24417484681435,8.20542246449577,24.454372195012,6.53715292792976,20.2560357699431,14.2353603511721,14.1798777751487,52227,33,0.895741712290206,20.8451301800736,9.80572939189465,1.01745253384029,12.8931715635479,4.35211853689183,71.204543043872,23.8746420149966,29.4971483587764,11.0385848679433,40031,78.21,"40031",5,0,"40031",1,4524,"40031",15,65,216,176,0,0,0,0,0,0,0,0,0,0,0,0,472,0,"40"
"2148","40033",5929,2379,5.02614268848035,17.9288244223309,8.4331253162422,11.1823241693372,11.5533816832518,12.8858154832181,6.96576151121606,3.55877888345421,3.12025636700961,11.2666554224996,8.07893405296003,2.62,5.80075662042875,7.27196300966793,11.8957545187053,0.882723833543506,9.20554854981084,7.145859604876,1.47120638923918,3.27868852459016,9.16351408154687,23.7494745691467,9.71496036431101,29.7857986169674,9.04031033901164,16.8493843818519,51623,42.9,0.976724574127172,3.49131388092427,15.2133580705009,0.0505987518974532,7.64041153651543,1.14690504300894,87.2828470231068,22.9549671108113,19.6154494855794,13.6447967616799,40033,40.47,NA,0,0,NA,0,NA,"40033",1,4,1,5,0,0,0,0,0,0,0,0,0,0,0,0,11,0,"40"
